"id","filename","filepath","adatecreated","ndatecreated","adatecheckedin","ndatecheckedin","businessname","licensenumber","batchid","productname","sampleid","tvsampleid","metrcnumber","approved","notified"
2944,"206225-ResidualSolvents.pdf","reports/pdf/206225-ResidualSolvents.pdf","08/21/2015","1440136800","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081015-F","Ultra Sonja Live","206225","2596","1A400031268748F000001029","1440396000","144019801518582800"
2949,"206225-Cannabinoids.pdf","reports/pdf/206225-Cannabinoids.pdf","08/21/2015","1440136800","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081015-F","Ultra Sonja Live","206225","2596","1A400031268748F000001029","1440396000","144019801518582800"
2952,"206242-ResidualSolvents.pdf","reports/pdf/206242-ResidualSolvents.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","080515-C","WiFi OG Wax","206242","2613","1A400031268748F000001368","1440396000","144028441517996800"
2953,"206241-ResidualSolvents.pdf","reports/pdf/206241-ResidualSolvents.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081315-T","WiFi OG Wax","206241","2612","1A400031268748F000001366","1440396000","144028441517996800"
2954,"206240-ResidualSolvents.pdf","reports/pdf/206240-ResidualSolvents.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","073015-D","Miss Devil Wax","206240","2611","1A400031268748F000001364","1440396000","144028441517996800"
2955,"206239-ResidualSolvents.pdf","reports/pdf/206239-ResidualSolvents.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081315-R","WiFi OG Wax","206239","2610","1A400031268748F000001362","1440396000","144028441517996800"
2956,"206238-ResidualSolvents.pdf","reports/pdf/206238-ResidualSolvents.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081715-N","Lee Roy Wax","206238","2609","1A400031268748F000001360","1440396000","144028441517996800"
2957,"206237-ResidualSolvents.pdf","reports/pdf/206237-ResidualSolvents.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081315-U","A.R.C. Wax","206237","2608","1A400031268748F000001358","1440396000","144028441517996800"
2958,"206236-ResidualSolvents.pdf","reports/pdf/206236-ResidualSolvents.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081815-C","Hybrid Wax","206236","2607","1A400031268748F000001356","1440396000","144028441517996800"
2959,"206235-ResidualSolvents.pdf","reports/pdf/206235-ResidualSolvents.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081715-P","White Fire Wax","206235","2606","1A400031268748F000001354","1440396000","144028441517996800"
2960,"206234-ResidualSolvents.pdf","reports/pdf/206234-ResidualSolvents.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081715-O","A.R.C. Wax","206234","2605","1A400031268748F000001352","1440396000","144028441517996800"
2961,"206233-ResidualSolvents.pdf","reports/pdf/206233-ResidualSolvents.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081715-T","Golden Goat Wax","206233","2604","1A400031268748F000001350","1440396000","144028441517996800"
2962,"206232-ResidualSolvents.pdf","reports/pdf/206232-ResidualSolvents.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081715-U","Highway Man Wax","206232","2603","1A400031268748F000001348","1440396000","144028441517996800"
2963,"206231-ResidualSolvents.pdf","reports/pdf/206231-ResidualSolvents.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081015-A","Breakfast Live Resin","206231","2602","1A400031268748F000001346","1440396000","144028441517996800"
2964,"206230-ResidualSolvents.pdf","reports/pdf/206230-ResidualSolvents.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081015-B","Durban Poison Sugar Wax","206230","2601","1A400031268748F000001344","1440396000","144028441517996800"
2965,"206229-ResidualSolvents.pdf","reports/pdf/206229-ResidualSolvents.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","080315-C","Golden Goat Live Wax","206229","2600","1A400031268748F000001341","1440396000","144028441517996800"
2966,"206228-ResidualSolvents.pdf","reports/pdf/206228-ResidualSolvents.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081415-A","LeeRoy TK5","206228","2599","1A400031268748F000001339","1440396000","144028441517996800"
2967,"206227-ResidualSolvents.pdf","reports/pdf/206227-ResidualSolvents.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081315-B","Lee Roy TK5","206227","2598","1A400031268748F000001337","1440396000","144028441517996800"
2968,"206226-ResidualSolvents.pdf","reports/pdf/206226-ResidualSolvents.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081315-E","Cookie Wreck Shatter","206226","2597","1A400031268748F000001335","1440396000","144028441517996800"
2969,"206236-Cannabinoids.pdf","reports/pdf/206236-Cannabinoids.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081815-C","Hybrid Wax","206236","2607","1A400031268748F000001356","1440396000","144028441517996800"
2970,"206235-Cannabinoids.pdf","reports/pdf/206235-Cannabinoids.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081715-P","White Fire Wax","206235","2606","1A400031268748F000001354","1440396000","144028441517996800"
2971,"206234-Cannabinoids.pdf","reports/pdf/206234-Cannabinoids.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081715-O","A.R.C. Wax","206234","2605","1A400031268748F000001352","1440396000","144028441517996800"
2972,"206233-Cannabinoids.pdf","reports/pdf/206233-Cannabinoids.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081715-T","Golden Goat Wax","206233","2604","1A400031268748F000001350","1440396000","144028441517996800"
2973,"206232-Cannabinoids.pdf","reports/pdf/206232-Cannabinoids.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081715-U","Highway Man Wax","206232","2603","1A400031268748F000001348","1440396000","144028441517996800"
2974,"206231-Cannabinoids.pdf","reports/pdf/206231-Cannabinoids.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081015-A","Breakfast Live Resin","206231","2602","1A400031268748F000001346","1440396000","144028441517996800"
2975,"206230-Cannabinoids.pdf","reports/pdf/206230-Cannabinoids.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081015-B","Durban Poison Sugar Wax","206230","2601","1A400031268748F000001344","1440396000","144028441517996800"
2976,"206229-Cannabinoids.pdf","reports/pdf/206229-Cannabinoids.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","080315-C","Golden Goat Live Wax","206229","2600","1A400031268748F000001341","1440396000","144028441517996800"
2977,"206228-Cannabinoids.pdf","reports/pdf/206228-Cannabinoids.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081415-A","LeeRoy TK5","206228","2599","1A400031268748F000001339","1440396000","144028441517996800"
2978,"206227-Cannabinoids.pdf","reports/pdf/206227-Cannabinoids.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081315-B","Lee Roy TK5","206227","2598","1A400031268748F000001337","1440396000","144028441517996800"
2979,"206226-Cannabinoids.pdf","reports/pdf/206226-Cannabinoids.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081315-E","Cookie Wreck Shatter","206226","2597","1A400031268748F000001335","1440396000","144028441517996800"
2980,"206241-Cannabinoids.pdf","reports/pdf/206241-Cannabinoids.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081315-T","WiFi OG Wax","206241","2612","1A400031268748F000001366","1440396000","144028441517996800"
2981,"206239-Cannabinoids.pdf","reports/pdf/206239-Cannabinoids.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081315-R","WiFi OG Wax","206239","2610","1A400031268748F000001362","1440396000","144028441517996800"
2982,"206238-Cannabinoids.pdf","reports/pdf/206238-Cannabinoids.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081715-N","Lee Roy Wax","206238","2609","1A400031268748F000001360","1440396000","144028441517996800"
2983,"206237-Cannabinoids.pdf","reports/pdf/206237-Cannabinoids.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081315-U","A.R.C. Wax","206237","2608","1A400031268748F000001358","1440396000","144028441517996800"
2984,"206242-Cannabinoids.pdf","reports/pdf/206242-Cannabinoids.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","080515-C","WiFi OG Wax","206242","2613","1A400031268748F000001368","1440396000","144028441517996800"
2985,"206240-Cannabinoids.pdf","reports/pdf/206240-Cannabinoids.pdf","08/22/2015","1440223200","2015-08-21","1440136800","TR Scientific LLC","404R-00015","073015-D","Miss Devil Wax","206240","2611","1A400031268748F000001364","1440396000","144028441517996800"
2987,"206261-Cannabinoids.pdf","reports/pdf/206261-Cannabinoids.pdf","08/22/2015","1440223200","2015-08-21","1440136800","JKC Manufacturing LLC","404R-00114","","Indica 100mg bottle","206261","2632","1A40003126874F2000000020","1440396000","144028441517996800"
2988,"206263-Cannabinoids.pdf","reports/pdf/206263-Cannabinoids.pdf","08/22/2015","1440223200","2015-08-21","1440136800","JKC Manufacturing LLC","404R-00114","","Hybrid 100mg Bottle","206263","2634","1A40003126874F2000000022","1440396000","144028441517996800"
